Unnamed: 0,speaker,sentence,dialect,dialect_norm
d1209-u685,BHan1209,aber,SZ (Schwyz),OT
d1073-u1708,CJea1295,und und ha gsäit zum vatti bi a,AG (Buchs/Zofingen),OT
d1198_1-u1257,TJos1198,vatterland oder ka vatterland he,SG (Brütten ZH/Zuozwil),OT
swissdial,4960,das kutschi isch schu uralt und abgsessa.,ch_gr,OT
d1147-u118,HJak1147,wo,AG (Baden),OT
swissdial,5998,mengmol werden au dia ohni sexualkontakt da heterosexuella zuagordnet und nit extra usgwiesa.,ch_gr,OT
swissdial,2225,e wiiteri zeichnig düted di heller fellfarb vo de buuchsiite vo de wildpferd aa.,ch_sg,OT
swissdial,1557,spannend biibt de kampf um de zweit ständerotssitz.,ch_sg,OT
swissdial,270,"dr sunnawind – dr stetigi strom vu gladena teili, wo d sunna ins all entloht – wird in söttigna fäll zu nem sonnasturm.",ch_gr,OT
swissdial,1425,de tschechnisch meneschterpräsidänt söll fördergälder fo sinere firme istriche.,ch_ag,OT
d1198_2-u11,TJos1198,gredt devoo hèt menge,SG (Brütten ZH/Zuozwil),OT
d1248-u1693,VPet1248,id landi gange,AG (Baden/Brugg),OT
swissdial,1405,"er het bsunders als hiv-forscher en uszeichnete, internationale ruef.",ch_sg,OT
swissdial,4915,"am mentig dorhen vieli gwitter, mit schwerpunkt westschwiz und tessin.",ch_gr,OT
d1163-u2831,CJea1295,dass deet e huufe komunischte,AG (Buchs/Zofingen),OT
d1207-u23,FKon1207,sim mir gsìì,GL (Näfels),OT
d1259-u284,MEdu1259,ghoiet mir händ chöne dene zueluege die händ,AG (Full-Reuenthal),OT
d1073-u370,CJea1295,jo häi mini eltere und mit miir beroote,AG (Buchs/Zofingen),OT
d1259-u886,MEdu1259,und as ad brigade sogar d brugg,AG (Full-Reuenthal),OT
swissdial,1262,sie schriebt e erne büecher gäge d'diskriminierig fode fraue.,ch_ag,OT
d1205-u236,NThe1205,dört i natürli de läbensschtandard vill ainfacher gsii,SH (Ramsen),OT
d1198_1-u210,TJos1198,ha den scho föfzg rappe tringggèld überchoo öppet emòl,SG (Brütten ZH/Zuozwil),OT
swissdial,2551,wie vill gwicht schleppsch du under dinere robe mit dir umenand?,ch_sg,OT
d1295-u1270,CJea1295,jo jo und jo natürlich und diä händ dän ebä vo dä schwiiz här jo allwäg mängs verno,AG (Buchs/Zofingen),OT
swissdial,1090,er isch mitbegründer gsi vom lettische buurevoband.,ch_sg,OT
swissdial,4926,döt liggen d wert sogar markant unter dr referenz.,ch_gr,OT
d1295-u526,CJea1295,bis z letscht,AG (Buchs/Zofingen),OT
swissdial,8,sie entstönd langsam ond verursache weniger schmärze ond beschwerde als es gerschtechorn.,ch_ag,OT
d1198_1-u1348,TJos1198,jòò hèt nonig vil fèrnsee umegchaa me hèt dèè mòl gsee,SG (Brütten ZH/Zuozwil),OT
d1147-u820,HJak1147,mìr händ ebe win wì ggsait mìt dene aalte maschine deehaafòif häm mìr lùftkèmpfgtruppe,AG (Baden),OT
swissdial,2053,will ihri existenz isch vunara intakta umwelt abhängig.,ch_gr,OT
d1198_1-u2187,TJos1198,zum glük hèt die puurefrau die hètmer nò chli kafi abepròòcht,SG (Brütten ZH/Zuozwil),OT
d1048-u423,WRos1048,aber d mueter hät halt immer druf glueget das me suuber und ganz ggangen isch,GL (Enneda),OT
d1163-u1887,CJea1295,au wäg der musig ja,AG (Buchs/Zofingen),OT
swissdial,934,scontent delivery network wött sabelade vo videospiel während de spitzeziite volangsame.,ch_sg,OT
d1053-u800,OJos1053,wa wasser usse dä het ja im aso unger em doorf gwoont da simmer di hemmer immer gse,NW (Wolfenschiessen),OT
swissdial,5002,denn hani müassa dia baba bediana.,ch_gr,OT
swissdial,6965,"es isch nit richtig gseit worda, dia 14 täg werden eigentlich kuum usgschöpft.",ch_gr,OT
swissdial,4275,prominenti schriftsteller wia dr edgar ellen poe oder dr nathaniel hawthorne hend sich kritisch güsseret.,ch_gr,OT
d1147-u1609,HJak1147,ìsch dèn,AG (Baden),OT
swissdial,2785,"dr landwirtschaft isch es glunga, rpabli mit hohem zuckerghalt z züchta.",ch_gr,OT
d1063-u104,HEll1063,ùnd as mer cha de zins zaale,AG (Baden),OT
swissdial,2656,"so stricksch dü dum baby keis nöis chappi, wie mini alt mum immer gseit het.",ch_vs,OT
swissdial,2281,de reid het die ersti systematischi studie öber de bärg begleitet ond het de gröschti glätscher bekannt.,ch_ag,OT
d1259-u608,MEdu1259,vergiss es nid dänn sich emal e grossi flugschau ggsii amene oobig,AG (Full-Reuenthal),OT
swissdial,1696,i bereit de voband vor.,ch_sg,OT
d1147-u1530,HJak1147,sägemer,AG (Baden),OT
d1075-u525,CJea1295,dò das hani aso iggsmòl erläbt,AG (Buchs/Zofingen),OT
d1048-u958,WRos1048,und dä häm mir dän aber beedi chänne säge si chänd ez mit,GL (Enneda),OT
swissdial,1342,knapp eis drittel vu dr thailändischa bevölkerig schafft im landwirtschaftssektor.,ch_gr,OT
d1205-u1172,NThe1205,dünger hät s au kai me ggää,SH (Ramsen),OT
d1209-u759,BHan1209,damaals het me daas sìcher als richtig aagluegt,SZ (Schwyz),OT
d1255-u242,GAlo1255,und di hend e magg gha und dr vatter und dr eltischt büeder und ich,UR (Göschener Alp),OT
swissdial,9529,fahrzüüg mit wasserstoffatrieb hets bim kanton züri bisher aber nit geh.,ch_gr,OT
d1063-u1262,HEll1063,ùnd dère hani a e nèèmaschine gliferet,AG (Baden),OT
swissdial,4358,"bi freund und feind het er als gschickta kriagstaktiker und ufrichtiga ma golta kah, wo sis ei mol gebena wort ghalta het.",ch_gr,OT
swissdial,8944,d daria lehmann bsuacht fast täglich a summerlinda und drei nebanandstehendi haselnusstrüücher.,ch_gr,OT
d1212-u1093,MHan1212,he jaa ja wil wier hei ìmmer jedes jede fritag hei wier,VS (Naters),OT
swissdial,1761,di zwei autos sind uf de autostross zemmegstosse und es het luut knallt.,ch_sg,OT
swissdial,4552,"sie sind uf allna kontinent zugega, d antarktis mit iigschlossa.",ch_gr,OT
swissdial,11144,"aber dass dia gschicht so stark uf ei einzigi person bezoga usgschlachter worda isch, das erachtemer als unfair.",ch_gr,OT
swissdial,9805,will bi emission null kunnt d strombrancha ins spiel.,ch_gr,OT
d1163-u1955,CJea1295,ich waiss nöd das i öb ich daas darf sääge,AG (Buchs/Zofingen),OT
swissdial,10537,i han ds gsundheitswesa in dera zit kennaglernt und mitprägt.,ch_gr,OT
swissdial,1601,mit neue trainingskolleginne und trainer erhofft sie sich en wiitere schritt füre.,ch_sg,OT
d1259-u983,MEdu1259,chum zu dem oberscht und ha genau das gmacht,AG (Full-Reuenthal),OT
swissdial,1578,"und wer nit uf bundesäbeni polarisiert het, het vill legislativ- und exekutiverfahrig in schinum heimatkanton gsammlut.",ch_vs,OT
d1147-u301,HJak1147,ùnd het die lüüt wo arbetsloos ggsii sìnd,AG (Baden),OT
d1212-u786,MHan1212,wägs dène verschidene gschlächtschrankheite,VS (Naters),OT
d1209-u379,BHan1209,und das patriotische gfüül wo deet isch vermìttlet woorde het natüürli scho übergschlagen uf d bevölkerig,SZ (Schwyz),OT
d1295-u509,CJea1295,bis ändi vom chrieg ischs aso seer knapp worde vorallem i dä schtädt,AG (Buchs/Zofingen),OT
d1207-u2028,FKon1207,i d schäufänschter ineluege he,GL (Näfels),OT
swissdial,1340,2014 händ chorzzitig ihnahme fo bagdad dor de islamischi staat droht.,ch_ag,OT
d1248-u1255,VPet1248,aa jo das hät scho ne rolle gschpilt,AG (Baden/Brugg),OT
swissdial,771,"bi starka niederschläg kanns passiara, dass nährstoff uusgschwemmt werden und ins grundwasser groten.",ch_gr,OT
swissdial,6861,"au das isch eini vu da strategischa achsa, wo d schwizer schuala erst grad inera strategie dargleit hen.",ch_gr,OT
swissdial,380,burdon werd fo elegantem gitarrespel begleitet.,ch_ag,OT
swissdial,724,giraffa gits sogar no dütlich weniger als elefanta.,ch_gr,OT
d1259-u2276,MEdu1259,git mir dä hauptmaa schiibli,AG (Full-Reuenthal),OT
d1259-u1038,MEdu1259,kompaniikomandante händ mir nüme kännt die händ gschpunne aso innerhalb vo zää tag,AG (Full-Reuenthal),OT
d1248-u1177,VPet1248,dasch nid sächsedriisg ggsii,AG (Baden/Brugg),OT
swissdial,7043,"i han damals mitgholfa, d klassagrössa azheba.",ch_gr,OT
d1248-u2185,VPet1248,ich ha doo ainigi diskussione gha,AG (Baden/Brugg),OT
d1207-u990,FKon1207,jede mùnet,GL (Näfels),OT
swissdial,1371,besorgt öber s'abschnide fode afd bede gestrige landtagswahle.,ch_ag,OT
d1147-u370,HJak1147,bìs,AG (Baden),OT
swissdial,598,die 36-jöhrigi greta gysin zieht is parlament ii.,ch_sg,OT
swissdial,6753,"dr svp gohts drum festzlegga, welli schlüss us dem bricht zoga werda könn und welli folga de bricht ha söll.",ch_gr,OT
swissdial,332,ede vereinigte staate werds traditionell zo wiehnachte oder neujohr tronke.,ch_ag,OT
swissdial,3690,ledersitz und verchromti türgriff.,ch_gr,OT
d1048-u813,WRos1048,im,GL (Enneda),OT
swissdial,8454,"es git no immer vieli beriich, in wellna d fraua hinter da männer astoh müan.",ch_gr,OT
d1248-u981,VPet1248,a diä wo hüt no uf dä schtroosse lärm mached das isch ä minderhait,AG (Baden/Brugg),OT
swissdial,6153,do hen d vögel no gsunga und d brunna hend no immer gruuscht wia damals.,ch_gr,OT
d1198_1-u613,TJos1198,nòch em hauptverlèse,SG (Brütten ZH/Zuozwil),OT
swissdial,4130,"so engagieren dia beida bispielswiis an stripper, zum as fest z sabotiara.",ch_gr,OT
d1073-u1085,CJea1295,duur si häuptmaa dr häuptmaa schwiter und dr,AG (Buchs/Zofingen),OT
swissdial,895,allerdings hets unternehme scho bis etz cookies blockiert.,ch_sg,OT
d1048-u50,WRos1048,drùm ìsch dän der altersunderschiid nǜǜd,GL (Enneda),OT
d1147-u493,HJak1147,dòch det bini scho piloot ggsii,AG (Baden),OT
d1163-u1234,CJea1295,ghaisse me händ aine gha de het schpieglbärg ghaisse de het,AG (Buchs/Zofingen),OT
swissdial,552,friitig mitternacht lauft diigabefrischt für dkandidate ab.,ch_sg,OT
swissdial,2186,es het scho 2014 ds bestellverfahra im regionala personaverkehr unter d lupa gnoh und an expertagruppa iigsetzt.,ch_gr,OT
d1205-u1374,NThe1205,öppis zuecho loo gäll,SH (Ramsen),OT
d1075-u411,CJea1295,dòsch äär döt in dr geegend gsì nìt in gempen oobe,AG (Buchs/Zofingen),OT
d1048-u1211,WRos1048,umgekeert isch das ja äu wäme das hüt betrachtet,GL (Enneda),OT
d1147-u520,HJak1147,fliigertrùppe,AG (Baden),OT
swissdial,9648,nit weniger iflussriich isch dr ingenieur douglas engelbart gsi.,ch_gr,OT
d1209-u191,BHan1209,ja ja das het men äinnglich den,SZ (Schwyz),OT
d1198_1-u1147,TJos1198,mee fraihait und wais got was ales he,SG (Brütten ZH/Zuozwil),OT
d1048-u726,WRos1048,die händ ja käi täller gchaa und de hät er gsäit die söled inechùù die gamälle gù wäsche mir händ waarms wasser,GL (Enneda),OT
swissdial,8287,dr ersti handelstag vu dr börsa het im april 1993 stattgfunda.,ch_gr,OT
swissdial,2255,"das kann nit sii, ihm isch no nia öpis usgleert.",ch_gr,OT
d1075-u571,CJea1295,noord süüd nìt ùnd das ìsch natüürch seer oft ǜber bäärn gangen ùnd dr her,AG (Buchs/Zofingen),OT
swissdial,2599,"du übernimmsch dverantwortig für das, dass sie sich nit betrinkt.",ch_gr,OT
d1198_1-u455,TJos1198,jò mue scho sège me hèt schoo verhèltnis wenig,SG (Brütten ZH/Zuozwil),OT
d1198_2-u660,TJos1198,jòò i ha sèggsezwanzg jòòr hani die chundschaft pflègt und ufbaue he bis den,SG (Brütten ZH/Zuozwil),OT
swissdial,864,drmit söllen unnötigi tests und behandliga vermieda werda.,ch_gr,OT
swissdial,2110,"hersteller wia vw, tesla oder opel versprechen ihrna kunda a lebensziit vu acht johr.",ch_gr,OT
swissdial,1484,"dandrea faye, wo sich em links-progressive lager zuordnet, pflichtet ihm bii.",ch_sg,OT
d1212-u667,MHan1212,aber eifach e de hèt mer wider gwisst wole die soldaate sìnd ja daa,VS (Naters),OT
d1259-u780,MEdu1259,mit em chorb voll blueme und ha diä blueme do uf denä gräbere do vertailt,AG (Full-Reuenthal),OT
swissdial,2325,di bomba het dwelbi durchschlage und isch im innurüüm explodiert.,ch_vs,OT
swissdial,1778,er kehrt hüt dr boda.,ch_gr,OT
d1053-u1444,OJos1053,und und was dete fir fir unnderschtänd und feischtige sind also das ghäärt ai zum redui,NW (Wolfenschiessen),OT
