Unnamed: 0,speaker,sentence,dialect,dialect_norm
swissdial,692,"bsuners, wenn ihri stängel uber de winter stah glah wärdunt, will der dischtelfink isch en samu.",ch_vs,OT
d1259-u690,MEdu1259,zu de milchgnosseschaft basel die händ si zbasel unde verwärtet nid,AG (Full-Reuenthal),OT
swissdial,6769,"wenn d interessanabwägig zugunsta nem fachberich usfallt, wird das meh oder weniger eins zu eins übernoh.",ch_gr,OT
swissdial,8381,us 9 bewerbiga sind bald nur no magglinga bi biel und chaumont bi neuaburg im renna um da standort vur sportschual.,ch_gr,OT
d1207-u1337,FKon1207,da sch ä wider es es täili,GL (Näfels),OT
swissdial,250,"em internationale wettbewerb mösste d'schwizer onternähme innoviere, dass bedütet automatisiere.",ch_ag,OT
d1255-u352,GAlo1255,kääini bercho und gliich isch gsii mit de mit de chääsmarken oi,UR (Göschener Alp),OT
swissdial,543,sstrofrecht isch immer nur sletschte mittel.,ch_sg,OT
swissdial,2399,i bin nia krocha sondern han mi träga loh.,ch_gr,OT
swissdial,9025,"au digitali schuala sind denkbar, altersdurchmischti schuala, wo denn gnuag schüaler ufwiesen und nit schlüssa müan.",ch_gr,OT
swissdial,1628,"""schliesslich hettemer gern wieder meh schispringerinne und schiispringer i de schwiiz"" seit de karl bieri.",ch_sg,OT
swissdial,1345,der isch scho va 1998 bis 2002 aner macht gsi und het du ehemaligi üssuminischter als botschafter uf washington gschickt.,ch_vs,OT
swissdial,1010,"wenn gnau dflagge zum erste mol isch ghisst worde, loht sich nüme feststelle.",ch_sg,OT
d1163-u1688,CJea1295,schpahi das sind aso,AG (Buchs/Zofingen),OT
swissdial,57,dene heter sie usglachet ond esch weggloffe.,ch_ag,OT
d1063-u753,HEll1063,die hetted sìch nìd gweert,AG (Baden),OT
d1295-u1029,CJea1295,hends en gno und hinden use mitm,AG (Buchs/Zofingen),OT
d1295-u1485,CJea1295,sind bis det häre,AG (Buchs/Zofingen),OT
swissdial,6810,"i bin dr meinig, dass miar im kantont bern alles drasetza müan, dass miar söttig initiativa noch kräft förderen.",ch_gr,OT
swissdial,979,er isch verhüürotet und het as kind.,ch_gr,OT
d1048-u1183,WRos1048,dùe noch nǜǜd näi näai hee,GL (Enneda),OT
swissdial,2716,dr asphalt isch har und uneba gsi.,ch_gr,OT
d1207-u232,FKon1207,im huus inne prifaat,GL (Näfels),OT
swissdial,8049,lut da verastalter hend rund 30’000 teilnehmer an kundgebiga in öpa 100 städt teilgnoh.,ch_gr,OT
d1053-u17,OJos1053,geboore hiie obe,NW (Wolfenschiessen),OT
swissdial,1250,dereinst söll as mehrgenerationahuus entstoh.,ch_gr,OT
d1163-u2463,CJea1295,glaubes jo aber aber i ha ha da vergässe,AG (Buchs/Zofingen),OT
swissdial,349,"schi als grundschieler het der konrad otto du naturschutzverei ""eidechsa"" z'detmold gegründut.",ch_vs,OT
swissdial,1532,scho lieber im hintergrund.,ch_sg,OT
d1198_1-u377,TJos1198,und im ganze dòòrff hèt mer doo nu ai beschtrèbe kent,SG (Brütten ZH/Zuozwil),OT
swissdial,2738,är verdräckt d'nastiecher.,ch_vs,OT
swissdial,2745,natürlech verstoht ers ned.,ch_ag,OT
d1163-u2337,CJea1295,de isch polizei do gsi und ich bi denn entlasse gsi nochdem d polizei ne,AG (Buchs/Zofingen),OT
swissdial,192,die erföllt d'richtlinie fode who mühelos.,ch_ag,OT
swissdial,9905,für meh diskussionsstoff het a nebaschauplatz gsorgt.,ch_gr,OT
swissdial,1219,im wallis gits es paar grösseri wolkelugge.,ch_sg,OT
swissdial,146,de film wird weg de extrem gnaue darstellig starch kritisiert.,ch_sg,OT
d1163-u2288,CJea1295,zwüsche züghuus und und oschtermundige und,AG (Buchs/Zofingen),OT
d1212-u1009,MHan1212,nät gsii und als und und de heiwer gideicht,VS (Naters),OT
d1163-u1768,CJea1295,da het s ainzelprüefige ggee bim oberscht he,AG (Buchs/Zofingen),OT
swissdial,20,am sunntig und am mentig teilwiis sunnig.,ch_gr,OT
swissdial,2416,dchatze sind liislig uf die schutzlos muus zuegange.,ch_sg,OT
d1198_2-u468,TJos1198,dò isch geserool isch geserool ggsii wit und bräit,SG (Brütten ZH/Zuozwil),OT
swissdial,1205,"im nordoschtu ischs meischtens trochu, zituwiis öi sunnig.",ch_vs,OT
swissdial,6179,"mit da übriga portier kasches haa, wia d wetsch, aber i verlanga grüasst z werda.",ch_gr,OT
swissdial,2359,"wo sie sie erneut iiholend, rammend sie ihres gstohlena fahrzüüg mehrfach mit voller wucht.",ch_gr,OT
swissdial,3650,kocht schmöckens ähnlich wia spinat.,ch_gr,OT
d1063-u324,HEll1063,d anngeschelte hetted söle bruuni bändl,AG (Baden),OT
d1053-u431,OJos1053,und nar isch nateirli der wind chu und ai de irgendwie die tire,NW (Wolfenschiessen),OT
d1205-u1540,NThe1205,für d noot vo de umligende,SH (Ramsen),OT
d1073-u220,CJea1295,im soo genante das het sìch denne salwaatikwartèt gnènt das si alles schpizekünschtler gsìì,AG (Buchs/Zofingen),OT
swissdial,1870,am dsiistig sunnigi abschnitt und schneeschauer.,ch_gr,OT
swissdial,1271,"au in berlin gits im summer erholigsört, wie zum biispil de trebusersee oder grunewaldsee, wos sogar en hundepark het.",ch_sg,OT
swissdial,646,"""dassi di besser gseh kann!""",ch_gr,OT
swissdial,348,"si isch mit volle militärische ehre imne private mausoleum i pittsburgh, pennsylvanie bestatted worde.",ch_sg,OT
swissdial,967,s'projekt esch ede zwöschezit ihgstellt worde.,ch_ag,OT
d1205-u702,NThe1205,aber,SH (Ramsen),OT
d1259-u61,MEdu1259,bezirksschuel aber da isch käi gäld ume ggsii,AG (Full-Reuenthal),OT
d1212-u5,MHan1212,im zweite ninte ninzehunnerteinezwäzg,VS (Naters),OT
swissdial,10437,"einzelni vertreter vu da grüana, dr sp und dr svp hingega hend kei interessabindiga.",ch_gr,OT
d1198_1-u1989,TJos1198,dasch so d uffassig ggsii wo me den gchaa hèt he,SG (Brütten ZH/Zuozwil),OT
d1163-u2855,CJea1295,hüt si wüsse was ich vo däre gattig halte ich has voräne verzellt he,AG (Buchs/Zofingen),OT
d1205-u1645,NThe1205,dräi regierige händ innert,SH (Ramsen),OT
swissdial,2135,an stadt-land-graba kamma im kanton aargau drum nit erkenna.,ch_gr,OT
d1198_1-u727,TJos1198,aber den zum,SG (Brütten ZH/Zuozwil),OT
d1207-u906,FKon1207,gsìì,GL (Näfels),OT
d1075-u41,CJea1295,und zwaar untergeortneti aarbete daamals maischtens nìt,AG (Buchs/Zofingen),OT
d1248-u522,VPet1248,än härr,AG (Baden/Brugg),OT
swissdial,376,als jugendlicha het dr besson allerdings no meeresbiolog werda wella.,ch_gr,OT
d1163-u722,CJea1295,en a schtöi schtot,AG (Buchs/Zofingen),OT
swissdial,476,ihri rache isch furchtbar gsi: spanischi truppa hend schloss und stadt verwüastet.,ch_gr,OT
swissdial,2489,sie isch zum heck vum schiff gsprunga.,ch_gr,OT
swissdial,3935,bis denn hend d kinder d ilmenauer schuala mit bsuacht.,ch_gr,OT
d1053-u1641,OJos1053,isch er näbedüise gfaare und het mimene saaili,NW (Wolfenschiessen),OT
swissdial,2538,susch schlafi am namittag nu ih.,ch_vs,OT
swissdial,1477,"es isch ganz klar, dass wier das miesse ahglichu.",ch_vs,OT
d1198_1-u1019,TJos1198,dasch über de grenze gsii,SG (Brütten ZH/Zuozwil),OT
swissdial,10241,usserdem informiara d regiarig z wenig über d gfohr vu dr zuasätzlicha strahlabelastig.,ch_gr,OT
d1163-u186,CJea1295,e e räine gschpass und das aso isch schlimmschte gsii was me het chönne gäge d jude sääge,AG (Buchs/Zofingen),OT
d1259-u66,MEdu1259,het sowiso ned glanget det abe,AG (Full-Reuenthal),OT
swissdial,3897,d blüateziit langt vo mai bis juni.,ch_gr,OT
swissdial,9381,"d fuassballerin profitiart uf allna ebana. d friedli isch jetzt nün wucha im wk, kann sich in magglinga voll uf da sport konzentriara.",ch_gr,OT
d1048-u464,WRos1048,die isch ä noch echläi i die richtig ine gsìì,GL (Enneda),OT
swissdial,9261,suachen sie noch ihrer gmeind oder partei und fahren sie dr ziitachsa entlang!,ch_gr,OT
d1248-u1716,VPet1248,vrbunde isch mit,AG (Baden/Brugg),OT
swissdial,2316,dlang chrankheit heder zum änd va schinum läbu geduldig ertreit.,ch_vs,OT
swissdial,2392,me goht vo huus zu huus und lüüted a de türe.,ch_sg,OT
d1147-u1552,HJak1147,im segelfluug obenabe choo isch,AG (Baden),OT
d1205-u533,NThe1205,wenn s emol dinne gsi sind sind s ainfach nummen use cho,SH (Ramsen),OT
swissdial,4353,für behinderti gits siit 1968 as pflegeheim vur dr. loew soziale dienstleistungen.,ch_gr,OT
d1048-u862,WRos1048,me hät das zur käntnis gnùù,GL (Enneda),OT
d1259-u374,MEdu1259,mit mine brüedere,AG (Full-Reuenthal),OT
d1259-u656,MEdu1259,bii zuzach,AG (Full-Reuenthal),OT
swissdial,1084,de bahnhof esch emmer meh zerfalle; zwösche de onbenötzte bahnzwieg send sogar bäum gwachse.,ch_ag,OT
d1163-u60,CJea1295,wo di roote faane ghanget sind z grääniche,AG (Buchs/Zofingen),OT
swissdial,249,bede letztgannte länder esch d'teilnahm fode arbeitslose aber freiwellig.,ch_ag,OT
d1259-u543,MEdu1259,die hetted föif taag früener chönne go schaffe aber,AG (Full-Reuenthal),OT
swissdial,673,"de verglich, dass tusig schof dör omfäll omchöme, het de ruppen ""pervers"" gnännt.",ch_ag,OT
d1147-u2006,HJak1147,platfuess,AG (Baden),OT
d1163-u2780,CJea1295,in friiburg in braisgau,AG (Buchs/Zofingen),OT
swissdial,4832,au d wasserversorgig isch örtlich unterbrocha worda.,ch_gr,OT
swissdial,1660,"eintracht-trainer adi hütter het nu derna als ""jahrhunert-talänt im portugiesischu füessball"" bezeichnut.",ch_vs,OT
d1048-u1213,WRos1048,ufemene vierwaldschtettersee deet ufe füere,GL (Enneda),OT
d1163-u1187,CJea1295,uf ainisch uszallt überchoo ha fünfevierzg franke,AG (Buchs/Zofingen),OT
swissdial,495,fode loftagreff em zwoite wältchrieg esch neipperg witgehend verschont blobe.,ch_ag,OT
d1053-u927,OJos1053,mier hend äbe d eriebli hemmer de freiwillig i de gmaind ggä und si hent de irgendewas däre hemmer voorig gha,NW (Wolfenschiessen),OT
swissdial,3930,usserdem kriagend d gebäck noch dr behandlig a besseri brünig.,ch_gr,OT
d1212-u697,MHan1212,greesser gsi und gwaggsni gsii di heind chènne ds güet beaarbeite und mache,VS (Naters),OT
swissdial,2629,uf die art und wiis sparsch dü jedi mängi zit.,ch_vs,OT
swissdial,1988,"hundrti heugümper sitzen uffam feld, fast usschlüsslich uffanand, sie paaren sich, leggen eier.",ch_gr,OT
swissdial,4956,"an bord befinden sich 88 migranta, drunter nün minderjöhrigi.",ch_gr,OT
d1053-u1591,OJos1053,e haub schtund gha vom päändli is doorf fire,NW (Wolfenschiessen),OT
swissdial,9968,zurziit werdi an bricht zu möglicha usbaumassnahma vu dr militärischa friedensförderig erarbeitet worda.,ch_gr,OT
d1147-u2929,HJak1147,ja so aso sii,AG (Baden),OT
d1198_1-u807,TJos1198,mit denen iinaame womer gcha hènd,SG (Brütten ZH/Zuozwil),OT
d1198_1-u643,TJos1198,ha nò paar so eppisoode,SG (Brütten ZH/Zuozwil),OT
swissdial,1454,z'bolivien het der evo morales probiert en witeri amtszit z'erzwingu.,ch_vs,OT
swissdial,5168,"am samstig noch sinera heimreis isch verlutbart worda, dass dr jones dur an virus nit fähig gsi isch, as renna z fahra.",ch_gr,OT
d1063-u740,HEll1063,dèè hèt den mǜsse iiruke,AG (Baden),OT
swissdial,6140,"i han glaubt er sig vu wilda verfolgt oder dur as tiar erschrocka, und bin, zum ihm helfa, ihm entgegagsprunga.",ch_gr,OT
d1147-u16,HJak1147,damals,AG (Baden),OT
d1147-u2047,HJak1147,nüüt gmacht woorde,AG (Baden),OT
swissdial,2494,ich bi nur so gsecklut fer dich ihzholu.,ch_vs,OT
swissdial,7009,im regiarigszimmer wartet schu regiarigsrötin simon uf d behandlig vu ihrna gschäft.,ch_gr,OT
swissdial,10054,"d schwizer könn erkenntnis, wo sie in gröland gwünnen, au für sicher selber nutza.",ch_gr,OT
swissdial,5569,aktuell isches 10 ab 10.,ch_gr,OT
d1048-u849,WRos1048,ich ich wäär i pflägerische beräich,GL (Enneda),OT
d1007-u167,EJos1007,was fürne laischtig es isch akord aarbet gsii daa isch immer der,NW (Stans),OT
d1259-u1326,MEdu1259,guät hani das gmacht und dä lütnand rau häts zimmer gha,AG (Full-Reuenthal),OT
d1205-u647,NThe1205,tag wärde,SH (Ramsen),OT
d1147-u1893,HJak1147,händ aber wenigschtens früschi lùft gha zùm schnuuffe nìd,AG (Baden),OT
d1259-u1622,MEdu1259,da chön er nit entschaide da müsi warte da gäng,AG (Full-Reuenthal),OT
d1163-u1595,CJea1295,het,AG (Buchs/Zofingen),OT
d1073-u540,CJea1295,ufs land uuse go luege und het afo graabe für sìch und het die eerschte fund gmacht,AG (Buchs/Zofingen),OT
swissdial,961,fleisch isch uffam tisch vu da eifacha bürger a seltaheit gsi.,ch_gr,OT
